Date,Close/Last,Volume,Open,High,Low
06/27/2025,$0.1195,82640,$0.1146,$0.1232,$0.1121
06/26/2025,$0.115,53315,$0.1357,$0.1704,$0.1022
06/25/2025,$0.1665,39250,$0.1076,$0.1665,$0.0976
06/24/2025,$0.1074,176050,$0.1017,$0.124,$0.1017
06/23/2025,$0.0895,116100,$0.0964,$0.1066,$0.086
06/20/2025,$0.093,25000,$0.0938,$0.1049,$0.093
06/18/2025,$0.0832,20000,$0.0821,$0.0832,$0.0821
06/17/2025,$0.0926,18502,$0.0921,$0.0979,$0.091
06/16/2025,$0.08,60225,$0.091,$0.1036,$0.08
06/13/2025,$0.1003,55150,$0.088,$0.1009,$0.088
06/12/2025,$0.0801,800,$0.0871,$0.0871,$0.0801
06/11/2025,$0.0951,22750,$0.0959,$0.0959,$0.0951
06/10/2025,$0.1047,10008,$0.1047,$0.1047,$0.1047
06/09/2025,$0.1048,353,$0.097,$0.1048,$0.097
06/06/2025,$0.0972,21000,$0.0964,$0.0992,$0.0964
06/05/2025,$0.1117,1010,$0.1117,$0.1117,$0.1117
06/04/2025,$0.1026,46257,$0.0894,$0.1048,$0.0894
06/02/2025,$0.0939,14000,$0.07,$0.0955,$0.07
05/30/2025,$0.098,6704,$0.095,$0.098,$0.08
05/29/2025,$0.1108,11300,$0.094,$0.1112,$0.094
05/28/2025,$0.0955,11100,$0.1005,$0.1005,$0.08
05/27/2025,$0.0851,21500,$0.1016,$0.1016,$0.0851
05/23/2025,$0.0814,32030,$0.0969,$0.1029,$0.0814
05/22/2025,$0.0893,88655,$0.0967,$0.1017,$0.0846
05/21/2025,$0.075,2780,$0.1117,$0.1117,$0.075
05/20/2025,$0.0907,59350,$0.0998,$0.1117,$0.0825
05/19/2025,$0.0888,201,$0.0888,$0.0888,$0.0888
05/16/2025,$0.0906,84840,$0.0838,$0.1117,$0.0834
05/15/2025,$0.0854,40500,$0.1017,$0.1017,$0.0854
05/14/2025,$0.0919,87500,$0.077,$0.0953,$0.077
05/13/2025,$0.10,61484,$0.10,$0.10,$0.10
05/12/2025,$0.0889,10607,$0.0889,$0.0889,$0.0889
05/09/2025,$0.0982,1000,$0.1066,$0.1066,$0.0982
05/08/2025,$0.0952,2000,$0.1085,$0.1085,$0.0952
05/06/2025,$0.11,3600,$0.1013,$0.11,$0.1013
05/05/2025,$0.0987,1100,$0.0987,$0.0987,$0.0987
05/02/2025,$0.085,3460,$0.0936,$0.0936,$0.085
05/01/2025,$0.088,4101,$0.095,$0.0969,$0.088
